Id,Name,Image,Url
4023,Ragnarok 1940. Tom 2,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4023/ragnarok-1940-tom-2
4025,Straż nocna,https://s.lubimyczytac.pl/upload/books/4000/4025/286615-352x500.jpg,/ksiazka/4025/straz-nocna
4027,Wilczy brat,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4027/wilczy-brat
4038,Władca Krainy,https://s.lubimyczytac.pl/upload/books/4000/4038/352x500.jpg,/ksiazka/4038/wladca-krainy
4045,Świat finansjery,https://s.lubimyczytac.pl/upload/books/4000/4045/352x500.jpg,/ksiazka/4045/swiat-finansjery
4049,Poniedziałek zaczyna się w sobotę,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4049/poniedzialek-zaczyna-sie-w-sobote
4050,Wojna bliźniaków,https://s.lubimyczytac.pl/upload/books/4000/4050/352x500.jpg,/ksiazka/4050/wojna-blizniakow
4051,Równoumagicznienie,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4051/rownoumagicznienie
4058,Bohaterowie umierają,https://s.lubimyczytac.pl/upload/books/4000/4058/352x500.jpg,/ksiazka/4058/bohaterowie-umieraja
4064,Pan Wilków,https://s.lubimyczytac.pl/upload/books/4000/4064/352x500.jpg,/ksiazka/4064/pan-wilkow
4074,Świat króla Artura. Maladie,https://s.lubimyczytac.pl/upload/books/4000/4074/352x500.jpg,/ksiazka/4074/swiat-krola-artura-maladie
4077,Wiosna Helikonii,https://s.lubimyczytac.pl/upload/books/4000/4077/352x500.jpg,/ksiazka/4077/wiosna-helikonii
4084,Cylinder van Troffa,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4084/cylinder-van-troffa
4086,"Rock'n'roll, bejbi!",https://s.lubimyczytac.pl/upload/books/4000/4086/352x500.jpg,/ksiazka/4086/rock-n-roll-bejbi
4090,"Arcymag, część 2",https://s.lubimyczytac.pl/upload/books/4000/4090/352x500.jpg,/ksiazka/4090/arcymag-czesc-2
4095,Ostatnia bitwa,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4095/ostatnia-bitwa
4097,Diuna. Krucjata przeciw maszynom,https://s.lubimyczytac.pl/upload/books/4000/4097/352x500.jpg,/ksiazka/4097/diuna-krucjata-przeciw-maszynom
4101,Batman: Rycerz z Gotham City,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4101/batman-rycerz-z-gotham-city
4105,Nauka Świata Dysku III. Zegarek Darwina,https://s.lubimyczytac.pl/upload/books/4000/4105/352x500.jpg,/ksiazka/4105/nauka-swiata-dysku-iii-zegarek-darwina
4116,Miasto Kości,,
4120,Opowieści o Johnnym Maxwellu,https://s.lubimyczytac.pl/upload/books/4000/4120/391385-352x500.jpg,/ksiazka/4120/opowiesci-o-johnnym-maxwellu
4128,Diuna. Bitwa pod Corrinem,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4128/diuna-bitwa-pod-corrinem
